Wavelength,Flux
1266.17, 1.06536
1266.26, 1.04364
1266.35, 0.982054
1266.45, 1.10595
1266.54, 1.08636
1266.63, 1.05755
1266.72, 1.01194
1266.81, 1.07812
1266.90, 0.963330
1266.99, 0.969977
1267.08, 0.962478
1267.17, 0.971500
1267.26, 0.992848
1267.35, 1.04617
1267.44, 0.978805
1267.53, 0.996280
1267.62, 1.00832
1267.71, 1.09738
1267.80, 1.10022
1267.89, 1.03893
1267.98, 1.04714
1268.07, 1.00423
1268.16, 0.972408
1268.25, 1.04459
1268.34, 0.988010
1268.43, 1.00446
1268.52, 1.01138
1268.61, 1.05276
1268.70, 1.00823
1268.79, 1.01780
1268.88, 1.07696
1268.97, 0.953415
1269.06, 1.06782
1269.16, 1.11016
1269.25, 1.03693
1269.34, 0.994749
1269.43, 0.870345
1269.52, 0.964298
1269.61, 0.918737
1269.70, 1.05113
1269.79, 0.984532
1269.88, 1.01689
1269.97, 0.987001
1270.06, 1.02364
1270.15, 1.03356
1270.24, 1.11592
1270.33, 1.06213
1270.42, 1.11922
1270.51, 1.05721
1270.60, 0.992837
1270.69, 1.10652
1270.78, 1.11966
1270.87, 1.15443
1270.96, 1.06661
1271.05, 1.00161
1271.14, 1.08736
1271.23, 1.06462
1271.32, 0.932368
1271.41, 1.02620
1271.50, 0.986351
1271.59, 1.05605
1271.68, 0.961187
1271.77, 1.02960
1271.86, 1.06978
1271.95, 0.988763
1272.05, 1.02151
1272.14, 0.956896
1272.23, 0.964373
1272.32, 0.978380
1272.41, 0.964583
1272.50, 1.01743
1272.59, 0.978427
1272.68, 1.11184
1272.77, 1.09309
1272.86, 1.10715
1272.95, 1.12630
1273.04, 1.04511
1273.13, 1.10626
1273.22, 1.07350
1273.31, 1.08188
1273.40, 0.974920
1273.49, 1.07193
1273.58, 1.08711
1273.67, 1.06693
1273.76, 1.07325
1273.85, 1.13281
1273.94, 1.08469
1274.03, 0.985368
1274.12, 1.04240
1274.21, 0.999964
1274.30, 0.931580
1274.39, 0.949168
1274.48, 1.04696
1274.57, 0.965475
1274.66, 0.950824
1274.75, 0.910037
1274.85, 0.951798
1274.94, 1.03556
1275.03, 0.992142
1275.12, 0.944976
1275.21, 0.958595
1275.30, 0.992659
1275.39, 0.953437
1275.48, 0.910198
1275.57, 0.963128
1275.66, 0.952140
1275.75, 1.02037
1275.84, 0.979209
1275.93, 1.04466
1276.02, 1.01873
1276.11, 1.04030
1276.20, 0.922879
1276.29, 1.03191
1276.38, 0.995007
1276.47, 0.958507
1276.56, 1.03692
1276.65, 0.901287
1276.74, 0.988148
1276.83, 0.990897
1276.92, 0.968454
1277.01, 0.907714
1277.10, 0.816341
1277.19, 0.901535
1277.28, 0.906616
1277.37, 0.932791
1277.46, 0.962339
1277.55, 0.909852
1277.64, 0.949461
1277.74, 1.01405
1277.83, 1.02987
1277.92, 0.974115
1278.01, 0.926103
1278.10, 1.05665
1278.19, 0.992815
1278.28, 0.971299
1278.37, 1.05681
1278.46, 1.10343
1278.55, 1.10675
1278.64, 0.985170
1278.73, 1.01994
1278.82, 1.09850
1278.91, 1.21031
1279.00, 1.14951
1279.09, 1.13877
1279.18, 1.00602
1279.27, 1.03043
1279.36, 1.06071
1279.45, 1.03778
1279.54, 1.03649
1279.63, 1.06855
1279.72, 1.00040
1279.81, 1.03402
1279.90, 1.01964
1279.99, 0.975232
1280.08, 0.959191
1280.17, 0.966876
1280.26, 0.922496
1280.35, 0.953573
1280.44, 0.961259
1280.54, 0.963261
1280.63, 0.980145
1280.72, 1.05856
1280.81, 1.00050
1280.90, 0.928320
1280.99, 0.992037
1281.08, 1.00763
1281.17, 1.04129
1281.26, 1.07145
1281.35, 1.11931
1281.44, 1.07576
1281.53, 1.20103
1281.62, 1.14920
1281.71, 1.06474
1281.80, 1.04175
1281.89, 0.977788
1281.98, 0.915108
1282.07, 0.872031
1282.16, 0.976300
1282.25, 0.980933
1282.34, 1.04005
1282.43, 1.00343
1282.52, 1.02733
1282.61, 0.998653
1282.70, 0.945705
1282.79, 1.04237
1282.88, 1.02877
1282.97, 1.02274
1283.06, 1.04516
1283.15, 1.05799
1283.24, 1.05076
1283.33, 1.06287
1283.43, 1.08628
1283.52, 1.06614
1283.61, 1.06280
1283.70, 1.12382
1283.79, 1.08723
1283.88, 1.00577
1283.97, 1.10075
1284.06, 1.05213
1284.15, 0.972325
1284.24, 1.18943
1284.33, 1.17171
1284.42, 1.07779
1284.51, 1.01529
1284.60, 1.03701
1284.69, 0.984417
1284.78, 1.02500
1284.87, 0.990039
1284.96, 0.976600
1285.05, 1.08889
1285.14, 1.03586
1285.23, 1.04972
1285.32, 0.944001
1285.41, 1.01222
1285.50, 1.04812
1285.59, 1.05405
1285.68, 1.05702
1285.77, 0.998449
1285.86, 1.01550
1285.95, 0.979445
1286.04, 0.992579
1286.13, 0.982857
1286.23, 1.00149
1286.32, 0.942705
1286.41, 0.994591
1286.50, 0.905081
1286.59, 0.939727
1286.68, 1.02628
1286.77, 1.02841
1286.86, 1.02654
1286.95, 0.959720
1287.04, 0.928868
1287.13, 0.853601
1287.22, 0.847509
1287.31, 0.814475
1287.40, 0.811708
1287.49, 0.807802
1287.58, 0.927224
1287.67, 0.940749
1287.76, 1.01731
1287.85, 1.00887
1287.94, 1.08847
1288.03, 1.08308
1288.12, 1.06307
1288.21, 1.12678
1288.30, 1.12559
1288.39, 1.08279
1288.48, 1.05560
1288.57, 1.05763
1288.66, 1.10108
1288.75, 1.04252
1288.84, 1.06175
1288.93, 1.05078
1289.03, 1.06185
1289.12, 1.00671
1289.21, 0.979387
1289.30, 1.04028
1289.39, 1.03139
1289.48, 1.00482
1289.57, 1.09928
1289.66, 1.05333
1289.75, 1.01418
1289.84, 1.02841
1289.93, 1.04108
1290.02, 1.05765
