Run, velocity(km/s), b(km/s), Temp(K), N_fit, upper_N_err, lower_N_err, q_fit, upper_q_err, lower_q_err, area, area_err
HC_v1700_chi1000_cond, 83.893, 267.429, 10384.746, 8.01783155692e+17, 6977791616.0, 8.0178315563e+17, 0.422570564794, 20.1993139644, 5.59841989434e-09, 6.57011935561e+16, 801926440.0
HC_v1700_chi1000_cond, 74.535, 75.258, 12662.511, 7.30734522249e+17, 9311516288.0, 7.30734522162e+17, 2.10370680691, 16.1130100694, 8.87179338882e-08, 2.11585529272e+16, 10351820.0857
HC_v1700_chi1000_cond, 75.139, 74.708, 12777.55, 6.99442506044e+17, 10234108160.0, 6.99442506033e+17, 2.04101789259, 22.7491981425, 5.17722829052e-08, 2.06170556298e+16, 4001164.83619
HC_v3000_chi3000_cond, 43.515, 31.343, 22977.467, 1.04908487499e+18, 1.49768552023e+14, 1.04908487499e+18, 0.453248314987, 37.372898817, 1.21105346862e-08, 8.20345814588e+16, 25069968.0
HC_v3000_chi3000_cond, 41.218, 44.095, 15641.202, 3.05948859331e+18, 195835671040.0, 3.05948859328e+18, 1.69599100421, 22.9713553792, 1.07279332084e-07, 1.00838152111e+17, 420781953.481
HC_v3000_chi3000_cond, 57.327, 59.384, 14931.707, 3.08837594086e+18, 405099168256.0, 3.08837594085e+18, 2.59552917601, 28.3318989239, 7.87982261663e-08, 7.92822675644e+16, 64132792.2539
HC_v3000_chi3000_cond, 62.335, 67.358, 11586.345, 1.64833341837e+18, 732141832704.0, 1.64833341837e+18, 2.39638674087, 26.4353350325, 3.62809874144e-07, 4.42617423009e+16, 27760401.5681
LowCond_v1700_chi300_cond, 43.643, 1594.327, 6606.489, 2.29379677549e+17, 1746148384.0, 2.2937965315e+17, 1.855554606, 15.0729003474, 3.15574291143e-08, 7.15746441174e+15, 24551713.9512
LowCond_v1700_chi300_cond, 67.171, 1540.867, 10664.578, 2.01789931957e+17, 1913675552.0, 2.01789930867e+17, 1.43248276754, 16.869580126, 2.49962464061e-08, 7.38789515258e+15, 77848133.8471
LowCond_v1700_chi300_cond, 77.328, 1522.925, 11401.948, 1.73610548008e+17, 2540037536.0, 1.73610547974e+17, 1.56697325473, 17.2547737209, 9.98067635205e-08, 6.00878757338e+15, 72674412.3023
LowCond_v1700_chi300_cond, 120.651, 1450.897, 12424.06, 7.69767494047e+16, 825078704.0, 7.69767493853e+16, 1.44369195769, 17.4695254708, 3.55710723099e-08, 2.80444911783e+15, 28844073.3789
T0.3_v1700_chi300_cond, 24.567, 1657.679, 12370.047, 1.75334623875e+16, 1.00002439021e+14, 1.7533462239e+16, 0.0249657233461, 39.4658561537, 4.04405232578e-05, 7.38793312262e+15, 3310773.0
T0.3_v1700_chi300_cond, 38.017, 1598.863, 8752.888, 1.11306146662e+17, 1635784016.0, 1.11306146646e+17, 0.840962208067, 24.2118547036, 1.58768769243e-08, 5.75864502812e+15, 52456287.9529
T0.3_v1700_chi300_cond, 60.787, 1528.813, 10597.241, 1.98662766303e+17, 1684943840.0, 1.98662766292e+17, 1.96625334741, 31.8336548152, 3.08497740686e-08, 5.98714907875e+15, 1293877.11791
T0.3_v1700_chi300_cond, 78.159, 1510.662, 10120.807, 2.25425256343e+17, 3260874784.0, 2.25425256282e+17, 3.72107315754, 19.7273928853, 1.79232507502e-07, 4.78543135091e+15, 23870.3755608
T0.3_v3000_chi300_cond, 18.896, 2948.84, 14822.075, 1.0704332033e+16, 8.04689867293e+12, 1.07043320313e+16, 0.00972577695603, 46.1529028939, 3.38101324907e-05, 6.45180901331e+15, 4405619.0
T0.3_v3000_chi300_cond, 83.329, 2905.955, 14554.061, 3.80798423474e+16, 1210714096.0, 3.80798422083e+16, 0.117085396399, 32.2589286718, 8.71698703497e-09, 7.10333037647e+15, 53845121.0
T0.3_v3000_chi300_cond, 123.662, 2869.24, 14193.342, 4.09305110623e+17, 13895589696.0, 4.09305106732e+17, 10.243842611, 18.5596411056, 0.000842858951941, 5.82103738669e+15, 1548502.79395
T0.3_v3000_chi300_cond, 176.042, 2648.65, 11486.14, 4.06905436634e+17, 5606501248.0, 4.06905436506e+17, 7.22863846461, 14.9357296252, 4.00392970823e-05, 6.48966564608e+15, 13723.5426922
T3_v860_chi3000_cond, 7.96, 107.485, 10552.6, 7.750245147e+16, 631519920.0, 7.75024443016e+16, 0.252943346422, 22.4472760195, 3.68219793545e-09, 8.91145283474e+15, 25848878.0
T3_v860_chi3000_cond, 8.916, 117.695, 6973.962, 2.36914504345e+16, 287569408.0, 2.36914504081e+16, 0.132812410956, 28.9551307766, 2.18061330104e-09, 4.09407156883e+15, 27728349.0
T3_v860_chi3000_cond, 11.089, 126.65, 11425.414, 4.59237272975e+17, 7126186176.0, 4.59237272967e+17, 5.1241184896, 15.2791730444, 0.00081466895155, 8.4010912435e+15, 3473978.59029
T3_v860_chi3000_cond, 16.827, 159.352, 10312.971, 1.98265420313e+17, 1874594848.0, 1.98265418691e+17, 3.98205007071, 12.9975776714, 4.16162573291e-07, 4.07153532402e+15, 52641.3029066
T10_v1500_chi10000_cond, 9.788, 69.779, 13960.975, 3.27929033154e+17, 2688878976.0, 3.27929032454e+17, 1.45317986984, 15.262073704, 2.69082693904e-08, 1.18980820617e+16, 120428229.623
T10_v1500_chi10000_cond, 7.473, 121.386, 13754.294, 4.09956095457e+17, 318669109056.0, 4.09956095456e+17, 2.55196151575, 19.5344277878, 3.19780732894e-05, 1.06240772161e+16, 7600436.8686
