Run, velocity(km/s), b(km/s), Temp(K), N_fit, upper_N_err, lower_N_err, q_fit, upper_q_err, lower_q_err, area, area_err
HC_v1700_chi1000_cond, 125.02, 1453.884, 387376.147, 1.96671604515e+15, 60532496.25, 1.96670258061e+15, 0.907698711738, 10.532517518, 1.70842104907e-08, 9.67383986714e+13, 727359.5217
HC_v1700_chi1000_cond, 75.986, 2816.18, 1479167.218, 8.5420505799e+12, 139232.359375, 8.53143539287e+12, 22.0890827272, 0.0357200936358, 2.01558570012e-06, 1.01978646343e+11, 41.1013125117
HC_v1700_chi1000_cond, 89.633, 2804.101, 1238838.746, 3.1132349759e+13, 615344.070312, 3.11316573073e+13, 24.2036639053, 2.64660841499, 1.97734300329e-05, 3.66204786621e+11, 445.393301994
HC_v3000_chi3000_cond, 50.845, 438.164, 446809.934, 6.73637489676e+15, 90034624.0, 6.73637487869e+15, 5.29481228946, 15.594951487, 1.74222487992e-07, 1.21507148382e+14, 76737.5807322
HC_v3000_chi3000_cond, 52.132, 2680.401, 410649.031, 5.81155582298e+15, 68900326.0, 5.81155569116e+15, 4.64147080353, 17.1724339061, 9.83075514327e-08, 1.11081733542e+14, 12324.257702
HC_v3000_chi3000_cond, 70.027, 437.529, 392274.965, 2.60881036471e+15, 39454423.5, 2.60880786477e+15, 10.8924739057, 6.60148897648, 0.00040290335617, 3.64497918893e+13, 21143.6925237
HC_v3000_chi3000_cond, 54.251, 2790.205, 383878.208, 1.3083203069e+15, 23474816.25, 1.30831863853e+15, 18.9539593494, 3.47269948082, 6.24301817069e-05, 1.60526247551e+13, 917.749963253
LowCond_v1700_chi300_cond, 128.85, 1509.617, 498536.331, 4.3695269658e+14, 5634192.75, 4.36922868625e+14, 2.36818276262, 9.5996061996, 4.84182995919e-08, 1.18127390469e+13, 7561.18232861
LowCond_v1700_chi300_cond, 131.043, 1477.743, 698288.816, 3.18371549994e+14, 26220560.4375, 3.17038336759e+14, 0.545845421631, 6.2280025726, 8.69533978154e-09, 2.19825748078e+13, 41379.21875
LowCond_v1700_chi300_cond, 131.706, 1469.056, 721016.762, 3.18853700619e+14, 5535440.6875, 3.18848097213e+14, 0.938426391602, 14.5022210894, 1.84114828938e-08, 1.53431323068e+13, 174916.08363
LowCond_v1700_chi300_cond, 190.381, 1382.087, 470783.385, 4.86561057455e+14, 5534471.5625, 4.86560004167e+14, 1.48968846389, 15.3347297867, 2.81734071628e-08, 1.73806539528e+13, 172720.081255
T0.3_v1700_chi300_cond, 35.109, 1649.279, 373320.887, 4.17190263048e+14, 4555191558.62, 4.17190171484e+14, 0.222038235742, 25.7961712448, 4.59279450582e-09, 5.21915851567e+13, 196593.414062
T0.3_v1700_chi300_cond, 49.302, 1588.12, 487255.527, 3.80692339741e+14, 16325540.8125, 3.80691485978e+14, 0.739063253877, 11.7151257732, 1.55712162053e-08, 2.14624664484e+13, 66230.828125
T0.3_v1700_chi300_cond, 67.495, 1521.466, 621563.211, 4.80018875189e+14, 8771079.875, 4.80018154841e+14, 0.795968866141, 18.9224544173, 1.54668656771e-08, 2.57581686925e+13, 37968.421875
T0.3_v1700_chi300_cond, 88.553, 1500.086, 730231.12, 3.03449263957e+14, 2697699.0, 3.03449221324e+14, 3.09164585162, 14.2290982199, 5.13778588562e-08, 7.08357527289e+12, 44008.4016789
T0.3_v3000_chi300_cond, 140.698, 2833.181, 372991.385, 2.3104098186e+15, 15439145.5, 2.31040975566e+15, 0.419638922484, 19.664468811, 5.1605149598e-09, 1.90205408853e+14, 2252169.25
T0.3_v3000_chi300_cond, 40.374, 2949.562, 381239.853, 1.17085952545e+15, 8624445.75, 1.17085926385e+15, 0.55758874674, 15.3906665628, 4.84065909578e-09, 7.96996140837e+13, 196446.140625
T0.3_v3000_chi300_cond, 123.755, 2868.873, 365081.895, 1.53044552399e+15, 29818919.5, 1.53044425928e+15, 0.648674685705, 13.0309233794, 7.88700316168e-09, 9.41386253234e+13, 1110006.03125
T0.3_v3000_chi300_cond, 194.946, 2629.541, 408259.66, 6.55295672524e+14, 5178789.25, 6.5529514231e+14, 3.19963697734, 7.86440959861, 5.58540458329e-08, 1.50231751243e+13, 141023.273445
T3_v860_chi3000_cond, -3.619, 663.419, 343464.464, 3.45488303202e+14, 2854032.0625, 3.45483775269e+14, 0.879865431368, 11.6273641704, 9.97475635423e-09, 1.73471486095e+13, 253206.067268
T3_v860_chi3000_cond, 8.217, 841.537, 367318.606, 2.39927890782e+14, 424737122.344, 2.39927378168e+14, 0.273676044656, 19.9579530182, 4.54806076133e-09, 2.62059196582e+13, 68155.109375
T3_v860_chi3000_cond, 10.919, 708.848, 460167.866, 3.27977126123e+14, 43313826.25, 3.2797462283e+14, 0.740605789719, 10.6802331825, 1.51275453275e-08, 1.84648311855e+13, 55992.3085938
T3_v860_chi3000_cond, 18.076, 755.807, 386253.476, 2.42475672758e+14, 3747723.28125, 2.42475459133e+14, 1.52227915657, 14.4331314612, 3.22634334804e-08, 8.54504063772e+12, 88893.604494
T10_v1500_chi10000_cond, -20.21, 812.786, 342279.484, 7.06446198542e+14, 4247532.375, 7.0643703629e+14, 2.83796148486, 9.36264987096, 3.57545624219e-08, 1.72655247831e+13, 37451.8083985
T10_v1500_chi10000_cond, 7.814, 361.146, 355457.744, 2.58845450147e+14, 2209585.25, 2.58845068426e+14, 0.899962028236, 10.4665336666, 8.25211399214e-09, 1.28042042583e+13, 117060.533359
T10_v1500_chi10000_cond, 15.022, 664.234, 388609.315, 4.96515505934e+14, 4273244.8125, 4.96512998247e+14, 0.527083851329, 17.2110893478, 7.01206737119e-09, 3.50955784598e+13, 45005.4335938
T10_v1500_chi10000_cond, 20.796, 407.369, 388771.712, 3.54538592638e+14, 3017186.125, 3.5453847812e+14, 4.93257471467, 11.0483793622, 1.82537606364e-07, 6.59475301401e+12, 1653.99546051
T1_v480_chi1000_cond, -1.972, 459.179, 397929.577, 6.45177757615e+13, 7780858.74219, 6.45167127166e+13, 0.796794741195, 10.5891736867, 7.40074190819e-09, 3.45968570558e+12, 5036.9921875
T1_v480_chi1000_cond, 9.872, 492.142, 467425.05, 2.85526680076e+14, 3620224.75, 2.85524740284e+14, 3.80738657542, 7.0125631438, 1.80607816258e-07, 5.99307151111e+12, 40.7481853304
